,string,tokens,label
502,make any promise,"['make', 'any', 'promise']",LVC
503,do any other act,"['do', 'any', 'other', 'act']",LVC
504,make a difference,"['make', 'a', 'difference']",LVC
505,have no intention,"['have', 'no', 'intention']",LVC
506,give a similar interpretation,"['give', 'a', 'similar', 'interpretation']",LVC
507,make a take-over offer,"['make', 'a', 'take-over', 'offer']",LVC
508,have a credit balance,"['have', 'a', 'credit', 'balance']",LVC
509,do toast,"['do', 'toast']",LVC
510,get a film,"['get', 'a', 'film']",LVC
511,make legislation,"['make', 'legislation']",LVC
512,give rise,"['give', 'rise']",LVC
513,make economic sense,"['make', 'economic', 'sense']",LVC
514,do research,"['do', 'research']",LVC
515,do a comprehensive study,"['do', 'a', 'comprehensive', 'study']",LVC
516,make the cost,"['make', 'the', 'cost']",LVC
517,give a set,"['give', 'a', 'set']",LVC
518,make frequent reference,"['make', 'frequent', 'reference']",LVC
519,give information,"['give', 'information']",LVC
520,give a misleading impression,"['give', 'a', 'misleading', 'impression']",LVC
521,give no noticeable improvement,"['give', 'no', 'noticeable', 'improvement']",LVC
522,get this cotton wool treatment,"['get', 'this', 'cotton', 'wool', 'treatment']",LVC
523,get attention,"['get', 'attention']",LVC
524,get support,"['get', 'support']",LVC
525,make this sacrifice,"['make', 'this', 'sacrifice']",LVC
526,get the remotest chance,"['get', 'the', 'remotest', 'chance']",LVC
527,do smile,"['do', 'smile']",LVC
528,take an interest,"['take', 'an', 'interest']",LVC
529,do their shopping,"['do', 'their', 'shopping']",LVC
530,do a little mime,"['do', 'a', 'little', 'mime']",LVC
531,have a heart attack,"['have', 'a', 'heart', 'attack']",LVC
532,take nuclear waste,"['take', 'nuclear', 'waste']",LVC
533,take the cost,"['take', 'the', 'cost']",LVC
534,give the wrong impression,"['give', 'the', 'wrong', 'impression']",LVC
535,get sufficient heating,"['get', 'sufficient', 'heating']",LVC
536,make the presentation,"['make', 'the', 'presentation']",LVC
537,take the lead,"['take', 'the', 'lead']",LVC
538,have no chance,"['have', 'no', 'chance']",LVC
539,make a secret profit,"['make', 'a', 'secret', 'profit']",LVC
540,make no use,"['make', 'no', 'use']",LVC
541,make a new commitment,"['make', 'a', 'new', 'commitment']",LVC
542,give up its etymological origin,"['give', 'up', 'its', 'etymological', 'origin']",LVC
543,make perfect sense,"['make', 'perfect', 'sense']",LVC
544,get quality assurance,"['get', 'quality', 'assurance']",LVC
545,do some work,"['do', 'some', 'work']",LVC
546,get a sight,"['get', 'a', 'sight']",LVC
547,make its maiden flight,"['make', 'its', 'maiden', 'flight']",LVC
548,have regular part-time work,"['have', 'regular', 'part-time', 'work']",LVC
549,make the study,"['make', 'the', 'study']",LVC
550,make the assumption,"['make', 'the', 'assumption']",LVC
551,make a product,"['make', 'a', 'product']",LVC
552,do not breast feed,"['do', 'not', 'breast', 'feed']",LVC
553,get life assurance,"['get', 'life', 'assurance']",LVC
554,get as much information,"['get', 'as', 'much', 'information']",LVC
555,get a negative result,"['get', 'a', 'negative', 'result']",LVC
556,take the risk,"['take', 'the', 'risk']",LVC
557,give the finely granulated appearance,"['give', 'the', 'finely', 'granulated', 'appearance']",LVC
558,make a quick call,"['make', 'a', 'quick', 'call']",LVC
559,do a picture,"['do', 'a', 'picture']",LVC
560,take an extreme example,"['take', 'an', 'extreme', 'example']",LVC
561,give the following information,"['give', 'the', 'following', 'information']",LVC
562,do a variety,"['do', 'a', 'variety']",LVC
563,give the impression,"['give', 'the', 'impression']",LVC
564,make an even bigger commitment,"['make', 'an', 'even', 'bigger', 'commitment']",LVC
565,do good research,"['do', 'good', 'research']",LVC
566,make a placement decision,"['make', 'a', 'placement', 'decision']",LVC
567,have a significant impact,"['have', 'a', 'significant', 'impact']",LVC
568,make a comeback,"['make', 'a', 'comeback']",LVC
569,make a loss,"['make', 'a', 'loss']",LVC
570,do a survey,"['do', 'a', 'survey']",LVC
571,do much work,"['do', 'much', 'work']",LVC
572,do some work,"['do', 'some', 'work']",LVC
573,do the substitution,"['do', 'the', 'substitution']",LVC
574,make steady progress,"['make', 'steady', 'progress']",LVC
575,have up to three years experience,"['have', 'up', 'to', 'three', 'years', 'experience']",LVC
576,take this precaution,"['take', 'this', 'precaution']",LVC
577,make this magnificent gesture,"['make', 'this', 'magnificent', 'gesture']",LVC
578,get some hot food,"['get', 'some', 'hot', 'food']",LVC
579,make a cash donation,"['make', 'a', 'cash', 'donation']",LVC
580,do the robbery,"['do', 'the', 'robbery']",LVC
581,do that journey,"['do', 'that', 'journey']",LVC
582,do the switch,"['do', 'the', 'switch']",LVC
583,make any progress,"['make', 'any', 'progress']",LVC
584,give permission,"['give', 'permission']",LVC
585,do the work,"['do', 'the', 'work']",LVC
586,take hold,"['take', 'hold']",LVC
587,do any permanent harm,"['do', 'any', 'permanent', 'harm']",LVC
588,do all the cooking,"['do', 'all', 'the', 'cooking']",LVC
589,give a little thought,"['give', 'a', 'little', 'thought']",LVC
590,make a big difference,"['make', 'a', 'big', 'difference']",LVC
591,make sense,"['make', 'sense']",LVC
592,do their review,"['do', 'their', 'review']",LVC
593,make possible â€˜that exercise,"['make', 'possible', 'â€˜that', 'exercise']",LVC
594,do his work,"['do', 'his', 'work']",LVC
595,do an opinion poll,"['do', 'an', 'opinion', 'poll']",LVC
596,make sense,"['make', 'sense']",LVC
597,give a coherent explanation,"['give', 'a', 'coherent', 'explanation']",LVC
598,make a calculated risk,"['make', 'a', 'calculated', 'risk']",LVC
599,do a scheme,"['do', 'a', 'scheme']",LVC
600,make an immediate impact,"['make', 'an', 'immediate', 'impact']",LVC
601,take a practical approach,"['take', 'a', 'practical', 'approach']",LVC
602,have a current account,"['have', 'a', 'current', 'account']",LVC
603,take the chair,"['take', 'the', 'chair']",LVC
604,get a pension fund,"['get', 'a', 'pension', 'fund']",LVC
605,have a supervisor,"['have', 'a', 'supervisor']",LVC
606,do slip,"['do', 'slip']",LVC
607,get a picture,"['get', 'a', 'picture']",LVC
608,make a statement,"['make', 'a', 'statement']",LVC
609,do battle,"['do', 'battle']",LVC
610,do we sign,"['do', 'we', 'sign']",LVC
611,give advice,"['give', 'advice']",LVC
612,make the difference,"['make', 'the', 'difference']",LVC
613,do credit,"['do', 'credit']",LVC
614,get some sleep,"['get', 'some', 'sleep']",LVC
615,take a great deal,"['take', 'a', 'great', 'deal']",LVC
616,make a payment,"['make', 'a', 'payment']",LVC
617,give evidence,"['give', 'evidence']",LVC
618,give effect,"['give', 'effect']",LVC
619,give the benefit,"['give', 'the', 'benefit']",LVC
620,take into account any consideration,"['take', 'into', 'account', 'any', 'consideration']",LVC
621,make a vindictive attack,"['make', 'a', 'vindictive', 'attack']",LVC
622,give their objections or support,"['give', 'their', 'objections', 'or', 'support']",LVC
623,make a recommendation,"['make', 'a', 'recommendation']",LVC
624,do the eagles attack,"['do', 'the', 'eagles', 'attack']",LVC
625,make their judgement,"['make', 'their', 'judgement']",LVC
626,make his debut,"['make', 'his', 'debut']",LVC
627,do the grand slam,"['do', 'the', 'grand', 'slam']",LVC
628,take a deflection,"['take', 'a', 'deflection']",LVC
629,give a talk,"['give', 'a', 'talk']",LVC
630,take pain,"['take', 'pain']",LVC
631,do not even trouble,"['do', 'not', 'even', 'trouble']",LVC
632,make contact,"['make', 'contact']",LVC
633,do some more work,"['do', 'some', 'more', 'work']",LVC
634,"do a small , frail mime","['do', 'a', 'small', ',', 'frail', 'mime']",LVC
635,do your first beat,"['do', 'your', 'first', 'beat']",LVC
636,get a new beat,"['get', 'a', 'new', 'beat']",LVC
637,make a very favourable impression,"['make', 'a', 'very', 'favourable', 'impression']",LVC
638,do on Sunday the work,"['do', 'on', 'Sunday', 'the', 'work']",LVC
639,get abuse,"['get', 'abuse']",LVC
640,make his reputation,"['make', 'his', 'reputation']",LVC
641,make sense,"['make', 'sense']",LVC
642,give the NAB plan,"['give', 'the', 'NAB', 'plan']",LVC
643,take precedence,"['take', 'precedence']",LVC
644,do his work,"['do', 'his', 'work']",LVC
645,do the work,"['do', 'the', 'work']",LVC
646,make sense,"['make', 'sense']",LVC
647,make good sense,"['make', 'good', 'sense']",LVC
648,give the impression,"['give', 'the', 'impression']",LVC
649,make an amazing discovery,"['make', 'an', 'amazing', 'discovery']",LVC
650,take a great deal,"['take', 'a', 'great', 'deal']",LVC
651,make a compensation payment,"['make', 'a', 'compensation', 'payment']",LVC
652,make the break,"['make', 'the', 'break']",LVC
653,do a survey,"['do', 'a', 'survey']",LVC
654,do a survey,"['do', 'a', 'survey']",LVC
655,take action,"['take', 'action']",LVC
656,do no credit,"['do', 'no', 'credit']",LVC
657,take no action,"['take', 'no', 'action']",LVC
658,make the decision,"['make', 'the', 'decision']",LVC
659,do the exercise,"['do', 'the', 'exercise']",LVC
660,do the exercise,"['do', 'the', 'exercise']",LVC
661,do a local search,"['do', 'a', 'local', 'search']",LVC
662,take preventive action,"['take', 'preventive', 'action']",LVC
663,make any sense,"['make', 'any', 'sense']",LVC
664,take their attention,"['take', 'their', 'attention']",LVC
665,take a short cut,"['take', 'a', 'short', 'cut']",LVC
666,make an incredible difference,"['make', 'an', 'incredible', 'difference']",LVC
667,do another blood glucose test,"['do', 'another', 'blood', 'glucose', 'test']",LVC
668,do our share,"['do', 'our', 'share']",LVC
669,give her confidence,"['give', 'her', 'confidence']",LVC
670,take a deep breath,"['take', 'a', 'deep', 'breath']",LVC
671,take a deep breath,"['take', 'a', 'deep', 'breath']",LVC
672,take a single step,"['take', 'a', 'single', 'step']",LVC
673,take over the interest,"['take', 'over', 'the', 'interest']",LVC
674,make the first British female ascent,"['make', 'the', 'first', 'British', 'female', 'ascent']",LVC
675,take a deep breath,"['take', 'a', 'deep', 'breath']",LVC
676,do any harm,"['do', 'any', 'harm']",LVC
677,do check,"['do', 'check']",LVC
678,take food,"['take', 'food']",LVC
679,make the test,"['make', 'the', 'test']",LVC
680,make sense,"['make', 'sense']",LVC
681,get supplementary benefit,"['get', 'supplementary', 'benefit']",LVC
682,make use,"['make', 'use']",LVC
683,make a fairly precise summary statement,"['make', 'a', 'fairly', 'precise', 'summary', 'statement']",LVC
684,do lack,"['do', 'lack']",LVC
685,do of course all issue,"['do', 'of', 'course', 'all', 'issue']",LVC
686,make a note,"['make', 'a', 'note']",LVC
687,make a note,"['make', 'a', 'note']",LVC
688,do a dip,"['do', 'a', 'dip']",LVC
689,make one laugh,"['make', 'one', 'laugh']",LVC
690,do his response,"['do', 'his', 'response']",LVC
691,do her belly dance,"['do', 'her', 'belly', 'dance']",LVC
692,do a tap dance,"['do', 'a', 'tap', 'dance']",LVC
693,have a contrary situation,"['have', 'a', 'contrary', 'situation']",LVC
694,do a good performance,"['do', 'a', 'good', 'performance']",LVC
695,have a look,"['have', 'a', 'look']",LVC
696,make only one difference,"['make', 'only', 'one', 'difference']",LVC
697,get one sense,"['get', 'one', 'sense']",LVC
698,take no action,"['take', 'no', 'action']",LVC
699,have n't enough energy to move,"['have', ""n't"", 'enough', 'energy', 'to', 'move']",LVC
700,make the selection,"['make', 'the', 'selection']",LVC
701,give a small smile,"['give', 'a', 'small', 'smile']",LVC
702,make a grab,"['make', 'a', 'grab']",LVC
703,make a mental note,"['make', 'a', 'mental', 'note']",LVC
704,do no other work,"['do', 'no', 'other', 'work']",LVC
705,get the registration,"['get', 'the', 'registration']",LVC
706,do the monthly wash,"['do', 'the', 'monthly', 'wash']",LVC
707,make sense,"['make', 'sense']",LVC
708,give a false name and address,"['give', 'a', 'false', 'name', 'and', 'address']",LVC
709,give evidence,"['give', 'evidence']",LVC
710,make a contract,"['make', 'a', 'contract']",LVC
711,take hold,"['take', 'hold']",LVC
712,make contact,"['make', 'contact']",LVC
713,make contact,"['make', 'contact']",LVC
714,do my check,"['do', 'my', 'check']",LVC
715,take a deep breath,"['take', 'a', 'deep', 'breath']",LVC
716,"have a long , narrow study","['have', 'a', 'long', ',', 'narrow', 'study']",LVC
717,make the performance,"['make', 'the', 'performance']",LVC
718,make sense,"['make', 'sense']",LVC
719,make an entrance,"['make', 'an', 'entrance']",LVC
720,give character and variety,"['give', 'character', 'and', 'variety']",LVC
721,do Jehovah 's will,"['do', 'Jehovah', ""'s"", 'will']",LVC
722,give enough resources and security,"['give', 'enough', 'resources', 'and', 'security']",LVC
723,take the attention,"['take', 'the', 'attention']",LVC
724,make out a chart,"['make', 'out', 'a', 'chart']",LVC
725,do a whole exchange,"['do', 'a', 'whole', 'exchange']",LVC
726,do some work,"['do', 'some', 'work']",LVC
727,make use,"['make', 'use']",LVC
728,make sense,"['make', 'sense']",LVC
729,take precedence,"['take', 'precedence']",LVC
730,make the grant,"['make', 'the', 'grant']",LVC
731,make ransom,"['make', 'ransom']",LVC
732,take the lead,"['take', 'the', 'lead']",LVC
733,have a major visual impact,"['have', 'a', 'major', 'visual', 'impact']",LVC
734,take the chair,"['take', 'the', 'chair']",LVC
735,make love,"['make', 'love']",LVC
736,do the relationship,"['do', 'the', 'relationship']",LVC
737,do any damage,"['do', 'any', 'damage']",LVC
738,do a deal,"['do', 'a', 'deal']",LVC
739,do an internal notice,"['do', 'an', 'internal', 'notice']",LVC
740,get agreement,"['get', 'agreement']",LVC
741,make reference,"['make', 'reference']",LVC
742,make no reference,"['make', 'no', 'reference']",LVC
743,make the best use,"['make', 'the', 'best', 'use']",LVC
744,make an assessment,"['make', 'an', 'assessment']",LVC
745,give the broad outline,"['give', 'the', 'broad', 'outline']",LVC
746,make possible the control,"['make', 'possible', 'the', 'control']",LVC
747,do your spider feed,"['do', 'your', 'spider', 'feed']",LVC
748,give the Labour party,"['give', 'the', 'Labour', 'party']",LVC
749,have a boarding need,"['have', 'a', 'boarding', 'need']",LVC
750,make sense,"['make', 'sense']",LVC
751,make rapid progress,"['make', 'rapid', 'progress']",LVC
752,make the appointment,"['make', 'the', 'appointment']",LVC
753,make his debut,"['make', 'his', 'debut']",LVC
754,do the trick,"['do', 'the', 'trick']",LVC
755,get full information,"['get', 'full', 'information']",LVC
756,get all the praise,"['get', 'all', 'the', 'praise']",LVC
757,give up hope,"['give', 'up', 'hope']",LVC
758,take control,"['take', 'control']",LVC
759,take legal action,"['take', 'legal', 'action']",LVC
760,make an offer,"['make', 'an', 'offer']",LVC
761,make as big an impact,"['make', 'as', 'big', 'an', 'impact']",LVC
762,do the damage,"['do', 'the', 'damage']",LVC
763,make this record,"['make', 'this', 'record']",LVC
764,do the show,"['do', 'the', 'show']",LVC
765,do my clog dance,"['do', 'my', 'clog', 'dance']",LVC
766,get our record contract,"['get', 'our', 'record', 'contract']",LVC
767,have a feeling,"['have', 'a', 'feeling']",LVC
768,get another question,"['get', 'another', 'question']",LVC
769,give a verbal response,"['give', 'a', 'verbal', 'response']",LVC
770,do little long-term damage,"['do', 'little', 'long-term', 'damage']",LVC
771,do this work,"['do', 'this', 'work']",LVC
772,get a lot of shipment,"['get', 'a', 'lot', 'of', 'shipment']",LVC
773,do the work,"['do', 'the', 'work']",LVC
774,get a cross,"['get', 'a', 'cross']",LVC
775,do a good presentation,"['do', 'a', 'good', 'presentation']",LVC
776,do the table,"['do', 'the', 'table']",LVC
777,do the that today look,"['do', 'the', 'that', 'today', 'look']",LVC
778,do a play,"['do', 'a', 'play']",LVC
779,get practically no help,"['get', 'practically', 'no', 'help']",LVC
780,get a tyre gauge,"['get', 'a', 'tyre', 'gauge']",LVC
781,get any leave,"['get', 'any', 'leave']",LVC
782,get the clutch,"['get', 'the', 'clutch']",LVC
783,have a stroke,"['have', 'a', 'stroke']",LVC
784,have little confidence,"['have', 'little', 'confidence']",LVC
785,get a correct fit,"['get', 'a', 'correct', 'fit']",LVC
786,take my blood pressure,"['take', 'my', 'blood', 'pressure']",LVC
787,do the run,"['do', 'the', 'run']",LVC
788,do a final check,"['do', 'a', 'final', 'check']",LVC
789,do some very detailed work,"['do', 'some', 'very', 'detailed', 'work']",LVC
790,do n't the design,"['do', ""n't"", 'the', 'design']",LVC
791,get work,"['get', 'work']",LVC
792,give support and encouragement,"['give', 'support', 'and', 'encouragement']",LVC
793,make best use,"['make', 'best', 'use']",LVC
794,get a bargain,"['get', 'a', 'bargain']",LVC
795,make a resolution,"['make', 'a', 'resolution']",LVC
796,make a guess,"['make', 'a', 'guess']",LVC
797,make a smooth change,"['make', 'a', 'smooth', 'change']",LVC
798,get attention,"['get', 'attention']",LVC
799,get a monopoly,"['get', 'a', 'monopoly']",LVC
800,make progress,"['make', 'progress']",LVC
801,make a choice,"['make', 'a', 'choice']",LVC
802,do no work,"['do', 'no', 'work']",LVC
803,do â€˜the hard work,"['do', 'â€˜the', 'hard', 'work']",LVC
804,do a brisk trade,"['do', 'a', 'brisk', 'trade']",LVC
805,make a picture,"['make', 'a', 'picture']",LVC
806,make a clear connection,"['make', 'a', 'clear', 'connection']",LVC
807,make complete sense,"['make', 'complete', 'sense']",LVC
808,take precedence,"['take', 'precedence']",LVC
809,do all the trade,"['do', 'all', 'the', 'trade']",LVC
810,give some indication,"['give', 'some', 'indication']",LVC
811,do a DNA-fingerprint test,"['do', 'a', 'DNA-fingerprint', 'test']",LVC
812,get the hint,"['get', 'the', 'hint']",LVC
813,give out information,"['give', 'out', 'information']",LVC
814,take a deep breath,"['take', 'a', 'deep', 'breath']",LVC
815,take a step,"['take', 'a', 'step']",LVC
816,take her breath,"['take', 'her', 'breath']",LVC
817,make short work,"['make', 'short', 'work']",LVC
818,make the error,"['make', 'the', 'error']",LVC
819,make sense,"['make', 'sense']",LVC
820,do her shift,"['do', 'her', 'shift']",LVC
821,do the hiring and firing,"['do', 'the', 'hiring', 'and', 'firing']",LVC
822,do the solo record,"['do', 'the', 'solo', 'record']",LVC
823,do a tour,"['do', 'a', 'tour']",LVC
824,make provision,"['make', 'provision']",LVC
825,make any false statement,"['make', 'any', 'false', 'statement']",LVC
826,take the trouble,"['take', 'the', 'trouble']",LVC
827,do a disillusioned employee,"['do', 'a', 'disillusioned', 'employee']",LVC
828,make an initial assessment,"['make', 'an', 'initial', 'assessment']",LVC
829,make a general enquiry,"['make', 'a', 'general', 'enquiry']",LVC
830,do their background work,"['do', 'their', 'background', 'work']",LVC
831,make a special entry,"['make', 'a', 'special', 'entry']",LVC
832,give First Aid instruction,"['give', 'First', 'Aid', 'instruction']",LVC
833,give greater emphasis,"['give', 'greater', 'emphasis']",LVC
834,take output,"['take', 'output']",LVC
835,do an implementation,"['do', 'an', 'implementation']",LVC
836,do a big deal,"['do', 'a', 'big', 'deal']",LVC
837,get the hint,"['get', 'the', 'hint']",LVC
838,do education,"['do', 'education']",LVC
839,take the escalator,"['take', 'the', 'escalator']",LVC
840,make love,"['make', 'love']",LVC
841,do one need,"['do', 'one', 'need']",LVC
842,do you dream,"['do', 'you', 'dream']",LVC
843,take a deep breath,"['take', 'a', 'deep', 'breath']",LVC
844,take a shaky breath,"['take', 'a', 'shaky', 'breath']",LVC
845,get some sleep,"['get', 'some', 'sleep']",LVC
846,make its debut,"['make', 'its', 'debut']",LVC
847,make a thorough census,"['make', 'a', 'thorough', 'census']",LVC
848,get so much criticism,"['get', 'so', 'much', 'criticism']",LVC
849,make a start,"['make', 'a', 'start']",LVC
850,make a profit,"['make', 'a', 'profit']",LVC
851,make the best use,"['make', 'the', 'best', 'use']",LVC
852,make sense,"['make', 'sense']",LVC
853,make a strong impression,"['make', 'a', 'strong', 'impression']",LVC
854,make an additional seal,"['make', 'an', 'additional', 'seal']",LVC
855,make the final connection,"['make', 'the', 'final', 'connection']",LVC
856,have a profound effect,"['have', 'a', 'profound', 'effect']",LVC
857,get a bit more promotion,"['get', 'a', 'bit', 'more', 'promotion']",LVC
858,make use,"['make', 'use']",LVC
859,make a football pitch,"['make', 'a', 'football', 'pitch']",LVC
860,take one last look,"['take', 'one', 'last', 'look']",LVC
861,make an inward scooping action,"['make', 'an', 'inward', 'scooping', 'action']",LVC
862,do an act,"['do', 'an', 'act']",LVC
863,take the cynical view,"['take', 'the', 'cynical', 'view']",LVC
864,make an ideal introduction,"['make', 'an', 'ideal', 'introduction']",LVC
865,have a suspicion,"['have', 'a', 'suspicion']",LVC
866,give yet another destination,"['give', 'yet', 'another', 'destination']",LVC
867,take her fancy,"['take', 'her', 'fancy']",LVC
868,make a bad example,"['make', 'a', 'bad', 'example']",LVC
869,make a suggestion,"['make', 'a', 'suggestion']",LVC
870,do blow,"['do', 'blow']",LVC
871,do my family credit,"['do', 'my', 'family', 'credit']",LVC
872,make a huge gesture,"['make', 'a', 'huge', 'gesture']",LVC
873,make contact,"['make', 'contact']",LVC
874,make the essential commitment,"['make', 'the', 'essential', 'commitment']",LVC
875,give official recognition,"['give', 'official', 'recognition']",LVC
876,make a decision,"['make', 'a', 'decision']",LVC
877,give some indication,"['give', 'some', 'indication']",LVC
878,make a joke,"['make', 'a', 'joke']",LVC
879,make sense,"['make', 'sense']",LVC
880,get a red dress,"['get', 'a', 'red', 'dress']",LVC
881,have any sense,"['have', 'any', 'sense']",LVC
882,have such a crucial influence,"['have', 'such', 'a', 'crucial', 'influence']",LVC
883,make an accurate estimate,"['make', 'an', 'accurate', 'estimate']",LVC
884,get information,"['get', 'information']",LVC
885,give a difference,"['give', 'a', 'difference']",LVC
886,do basic research,"['do', 'basic', 'research']",LVC
887,make the appointment,"['make', 'the', 'appointment']",LVC
888,make a thorough survey,"['make', 'a', 'thorough', 'survey']",LVC
889,make a repayment,"['make', 'a', 'repayment']",LVC
890,make a decision or award,"['make', 'a', 'decision', 'or', 'award']",LVC
891,make some fresh agreement,"['make', 'some', 'fresh', 'agreement']",LVC
892,give notice,"['give', 'notice']",LVC
893,give a privileged position,"['give', 'a', 'privileged', 'position']",LVC
894,make explicit return,"['make', 'explicit', 'return']",LVC
895,have little effect,"['have', 'little', 'effect']",LVC
896,make the 6th ascent,"['make', 'the', '6th', 'ascent']",LVC
897,give a lecture,"['give', 'a', 'lecture']",LVC
898,have a mental image,"['have', 'a', 'mental', 'image']",LVC
899,take the hint,"['take', 'the', 'hint']",LVC
900,take a roast,"['take', 'a', 'roast']",LVC
901,make her life,"['make', 'her', 'life']",LVC
902,do your yard work,"['do', 'your', 'yard', 'work']",LVC
903,do more harm,"['do', 'more', 'harm']",LVC
904,get some glimpse,"['get', 'some', 'glimpse']",LVC
905,make a particular impact,"['make', 'a', 'particular', 'impact']",LVC
906,make a speech,"['make', 'a', 'speech']",LVC
907,get this smart suit,"['get', 'this', 'smart', 'suit']",LVC
908,give off this browny smoke,"['give', 'off', 'this', 'browny', 'smoke']",LVC
909,make good the difference,"['make', 'good', 'the', 'difference']",LVC
910,do focus,"['do', 'focus']",LVC
911,do the pace,"['do', 'the', 'pace']",LVC
912,make picture,"['make', 'picture']",LVC
913,do your chosen exercise,"['do', 'your', 'chosen', 'exercise']",LVC
914,get a large range,"['get', 'a', 'large', 'range']",LVC
915,do a great deal,"['do', 'a', 'great', 'deal']",LVC
916,make sense,"['make', 'sense']",LVC
917,do a range,"['do', 'a', 'range']",LVC
918,give insufficient emphasis,"['give', 'insufficient', 'emphasis']",LVC
919,take into account the possible impact,"['take', 'into', 'account', 'the', 'possible', 'impact']",LVC
920,do â€˜real police work,"['do', 'â€˜real', 'police', 'work']",LVC
921,do some research,"['do', 'some', 'research']",LVC
922,have bayonet practice,"['have', 'bayonet', 'practice']",LVC
923,make the link,"['make', 'the', 'link']",LVC
924,make a good profit,"['make', 'a', 'good', 'profit']",LVC
925,get a better buy,"['get', 'a', 'better', 'buy']",LVC
926,get the best price,"['get', 'the', 'best', 'price']",LVC
927,do a range,"['do', 'a', 'range']",LVC
928,take a very poor view,"['take', 'a', 'very', 'poor', 'view']",LVC
929,make the escape attempt,"['make', 'the', 'escape', 'attempt']",LVC
930,do a stroke,"['do', 'a', 'stroke']",LVC
931,take a deep breath,"['take', 'a', 'deep', 'breath']",LVC
932,get relief,"['get', 'relief']",LVC
933,get a grant,"['get', 'a', 'grant']",LVC
934,make all the difference,"['make', 'all', 'the', 'difference']",LVC
935,do work,"['do', 'work']",LVC
936,do a profile,"['do', 'a', 'profile']",LVC
937,make a joke,"['make', 'a', 'joke']",LVC
938,make the change,"['make', 'the', 'change']",LVC
939,take some food,"['take', 'some', 'food']",LVC
940,do the test,"['do', 'the', 'test']",LVC
941,get a table,"['get', 'a', 'table']",LVC
942,have the conviction,"['have', 'the', 'conviction']",LVC
943,take charge,"['take', 'charge']",LVC
944,give flesh and voice,"['give', 'flesh', 'and', 'voice']",LVC
945,do better The APB 's exposure,"['do', 'better', 'The', 'APB', ""'s"", 'exposure']",LVC
946,give approval,"['give', 'approval']",LVC
947,give a true and fair view,"['give', 'a', 'true', 'and', 'fair', 'view']",LVC
948,give judicial support,"['give', 'judicial', 'support']",LVC
949,make a loss,"['make', 'a', 'loss']",LVC
950,do any work,"['do', 'any', 'work']",LVC
951,make sense,"['make', 'sense']",LVC
952,do a full analysis,"['do', 'a', 'full', 'analysis']",LVC
953,make a comeback,"['make', 'a', 'comeback']",LVC
954,do serious damage,"['do', 'serious', 'damage']",LVC
955,get a poor service,"['get', 'a', 'poor', 'service']",LVC
956,give a similarly pessimistic account,"['give', 'a', 'similarly', 'pessimistic', 'account']",LVC
957,have no respect,"['have', 'no', 'respect']",LVC
958,take an interest,"['take', 'an', 'interest']",LVC
959,do this survey,"['do', 'this', 'survey']",LVC
960,make a magnificent debut,"['make', 'a', 'magnificent', 'debut']",LVC
961,give their head,"['give', 'their', 'head']",LVC
962,get clean possession,"['get', 'clean', 'possession']",LVC
963,take a look,"['take', 'a', 'look']",LVC
964,make a dense ground cover,"['make', 'a', 'dense', 'ground', 'cover']",LVC
965,make little difference,"['make', 'little', 'difference']",LVC
966,give European unity,"['give', 'European', 'unity']",LVC
967,take wider hold,"['take', 'wider', 'hold']",LVC
968,make an unofficial translation,"['make', 'an', 'unofficial', 'translation']",LVC
969,give rise,"['give', 'rise']",LVC
970,make a considerable difference,"['make', 'a', 'considerable', 'difference']",LVC
971,take off my tie,"['take', 'off', 'my', 'tie']",LVC
972,do housework for her keep,"['do', 'housework', 'for', 'her', 'keep']",LVC
973,take charge,"['take', 'charge']",LVC
974,do work,"['do', 'work']",LVC
975,do this run,"['do', 'this', 'run']",LVC
976,do a complete rehearsal,"['do', 'a', 'complete', 'rehearsal']",LVC
977,give a twisted smile,"['give', 'a', 'twisted', 'smile']",LVC
978,do work,"['do', 'work']",LVC
979,make sense,"['make', 'sense']",LVC
980,make a grab,"['make', 'a', 'grab']",LVC
981,do less harm,"['do', 'less', 'harm']",LVC
982,do a Gallium Arsenide implementation,"['do', 'a', 'Gallium', 'Arsenide', 'implementation']",LVC
983,do the hard work,"['do', 'the', 'hard', 'work']",LVC
984,take a grip,"['take', 'a', 'grip']",LVC
985,make my sketch,"['make', 'my', 'sketch']",LVC
986,give a sense,"['give', 'a', 'sense']",LVC
987,make the difference,"['make', 'the', 'difference']",LVC
988,make a much greater distinction,"['make', 'a', 'much', 'greater', 'distinction']",LVC
989,do work,"['do', 'work']",LVC
990,give rise,"['give', 'rise']",LVC
991,get a good voice,"['get', 'a', 'good', 'voice']",LVC
992,do a deal,"['do', 'a', 'deal']",LVC
993,have first class service,"['have', 'first', 'class', 'service']",LVC
994,do the work,"['do', 'the', 'work']",LVC
995,make his debut,"['make', 'his', 'debut']",LVC
996,do this tally,"['do', 'this', 'tally']",LVC
997,make steady progress,"['make', 'steady', 'progress']",LVC
998,make his Test debut,"['make', 'his', 'Test', 'debut']",LVC
999,have the chance,"['have', 'the', 'chance']",LVC
1000,give due and fair consideration,"['give', 'due', 'and', 'fair', 'consideration']",LVC
1001,do any writing and research,"['do', 'any', 'writing', 'and', 'research']",LVC
1002,have a large input,"['have', 'a', 'large', 'input']",LVC
1003,make such good progress,"['make', 'such', 'good', 'progress']",LVC
